"","date","y"
"1",2016-02-01,1
"2",2016-02-02,6
"3",2016-02-03,20
"4",2016-02-04,4
"5",2016-02-05,3
"6",2016-02-06,1
"7",2016-02-07,2
"8",2016-02-08,5
"9",2016-02-09,35
"10",2016-02-10,7
"11",2016-02-11,5
"12",2016-02-12,4
"13",2016-02-13,6
"14",2016-02-14,5
"15",2016-02-15,3
"16",2016-02-16,1
"17",2016-02-17,22
"18",2016-02-18,7
"19",2016-02-19,1
"20",2016-02-20,2
"21",2016-02-21,17
"22",2016-02-22,4
"23",2016-02-23,2
"24",2016-02-24,9
"25",2016-02-25,9
"26",2016-02-26,2
"27",2016-02-27,7
"28",2016-02-28,12
"29",2016-02-29,8
"30",2016-03-01,35
"31",2016-03-02,81
"32",2016-03-03,4
"33",2016-03-04,38
"34",2016-03-05,13
"35",2016-03-06,5
"36",2016-03-07,0
"37",2016-03-08,1
"38",2016-03-09,1
"39",2016-03-10,13
"40",2016-03-11,10
"41",2016-03-12,7
"42",2016-03-13,1
"43",2016-03-14,28
"44",2016-03-15,70
"45",2016-03-16,5
"46",2016-03-17,1
"47",2016-03-18,0
"48",2016-03-19,27
"49",2016-03-20,16
"50",2016-03-21,7
"51",2016-03-22,5
"52",2016-03-23,1
"53",2016-03-24,10
"54",2016-03-25,8
"55",2016-03-26,5
"56",2016-03-27,1
"57",2016-03-28,3
"58",2016-03-29,9
"59",2016-03-30,1
"60",2016-03-31,0
"61",2016-04-01,2
"62",2016-04-02,1
"63",2016-04-03,3
"64",2016-04-04,0
"65",2016-04-05,0
"66",2016-04-06,0
"67",2016-04-07,0
"68",2016-04-08,0
"69",2016-04-09,0
"70",2016-04-10,0
"71",2016-04-11,0
"72",2016-04-12,0
"73",2016-04-13,0
"74",2016-04-14,0
"75",2016-04-15,0
"76",2016-04-16,0
"77",2016-04-17,0
"78",2016-04-18,0
"79",2016-04-19,0
"80",2016-04-20,0
"81",2016-04-21,0
"82",2016-04-22,0
"83",2016-04-23,0
"84",2016-04-24,0
"85",2016-04-25,0
"86",2016-04-26,0
"87",2016-04-27,0
"88",2016-04-28,0
"89",2016-04-29,0
"90",2016-04-30,0
"91",2016-05-01,0
"92",2016-05-02,0
"93",2016-05-03,0
"94",2016-05-04,0
"95",2016-05-05,0
"96",2016-05-06,0
"97",2016-05-07,0
"98",2016-05-08,0
"99",2016-05-09,0
"100",2016-05-10,0
"101",2016-05-11,0
"102",2016-05-12,0
"103",2016-05-13,0
"104",2016-05-14,0
"105",2016-05-15,0
"106",2016-05-16,0
"107",2016-05-17,0
"108",2016-05-18,0
"109",2016-05-19,0
"110",2016-05-20,0
"111",2016-05-21,0
"112",2016-05-22,0
"113",2016-05-23,0
"114",2016-05-24,0
"115",2016-05-25,0
"116",2016-05-26,0
"117",2016-05-27,0
"118",2016-05-28,0
"119",2016-05-29,0
"120",2016-05-30,0
"121",2016-05-31,0
"122",2016-06-01,0
"123",2016-06-02,0
"124",2016-06-03,0
"125",2016-06-04,0
"126",2016-06-05,0
"127",2016-06-06,0
"128",2016-06-07,0
"129",2016-06-08,0
"130",2016-06-09,0
"131",2016-06-10,0
"132",2016-06-11,0
"133",2016-06-12,0
"134",2016-06-13,0
"135",2016-06-14,0
"136",2016-06-15,0
"137",2016-06-16,0
"138",2016-06-17,0
"139",2016-06-18,0
"140",2016-06-19,0
"141",2016-06-20,0
"142",2016-06-21,0
"143",2016-06-22,0
"144",2016-06-23,0
"145",2016-06-24,0
"146",2016-06-25,0
"147",2016-06-26,0
"148",2016-06-27,0
"149",2016-06-28,0
"150",2016-06-29,0
"151",2016-06-30,0
"152",2016-07-01,0
"153",2016-07-02,0
"154",2016-07-03,0
"155",2016-07-04,0
"156",2016-07-05,0
"157",2016-07-06,0
"158",2016-07-07,0
"159",2016-07-08,0
"160",2016-07-09,0
"161",2016-07-10,0
"162",2016-07-11,0
"163",2016-07-12,0
"164",2016-07-13,0
"165",2016-07-14,0
"166",2016-07-15,0
"167",2016-07-16,0
"168",2016-07-17,0
"169",2016-07-18,0
"170",2016-07-19,0
"171",2016-07-20,0
"172",2016-07-21,0
"173",2016-07-22,0
"174",2016-07-23,0
"175",2016-07-24,0
"176",2016-07-25,0
"177",2016-07-26,0
"178",2016-07-27,0
"179",2016-07-28,0
"180",2016-07-29,0
"181",2016-07-30,0
"182",2016-07-31,0
"183",2016-08-01,0
"184",2016-08-02,0
"185",2016-08-03,0
"186",2016-08-04,0
"187",2016-08-05,0
"188",2016-08-06,0
"189",2016-08-07,0
"190",2016-08-08,0
"191",2016-08-09,0
"192",2016-08-10,0
"193",2016-08-11,0
"194",2016-08-12,0
"195",2016-08-13,0
"196",2016-08-14,0
"197",2016-08-15,0
"198",2016-08-16,0
"199",2016-08-17,0
"200",2016-08-18,0
"201",2016-08-19,0
"202",2016-08-20,0
"203",2016-08-21,0
"204",2016-08-22,0
"205",2016-08-23,0
"206",2016-08-24,0
"207",2016-08-25,0
"208",2016-08-26,0
"209",2016-08-27,0
"210",2016-08-28,0
"211",2016-08-29,0
"212",2016-08-30,0
"213",2016-08-31,0
"214",2016-09-01,0
"215",2016-09-02,0
"216",2016-09-03,0
"217",2016-09-04,0
"218",2016-09-05,0
"219",2016-09-06,0
"220",2016-09-07,0
"221",2016-09-08,0
"222",2016-09-09,0
"223",2016-09-10,0
"224",2016-09-11,0
"225",2016-09-12,0
"226",2016-09-13,0
"227",2016-09-14,0
"228",2016-09-15,0
"229",2016-09-16,0
"230",2016-09-17,0
"231",2016-09-18,0
"232",2016-09-19,0
"233",2016-09-20,0
"234",2016-09-21,0
"235",2016-09-22,0
"236",2016-09-23,0
"237",2016-09-24,0
"238",2016-09-25,0
"239",2016-09-26,0
"240",2016-09-27,0
"241",2016-09-28,0
"242",2016-09-29,0
"243",2016-09-30,0
"244",2016-10-01,0
"245",2016-10-02,0
"246",2016-10-03,0
"247",2016-10-04,0
"248",2016-10-05,0
"249",2016-10-06,0
"250",2016-10-07,0
"251",2016-10-08,0
"252",2016-10-09,0
"253",2016-10-10,0
"254",2016-10-11,0
"255",2016-10-12,0
"256",2016-10-13,0
"257",2016-10-14,0
"258",2016-10-15,0
"259",2016-10-16,0
"260",2016-10-17,0
"261",2016-10-18,0
"262",2016-10-19,0
"263",2016-10-20,0
"264",2016-10-21,0
"265",2016-10-22,0
"266",2016-10-23,0
"267",2016-10-24,0
"268",2016-10-25,0
"269",2016-10-26,0
"270",2016-10-27,0
"271",2016-10-28,0
"272",2016-10-29,0
"273",2016-10-30,0
"274",2017-02-06,0
"275",2017-02-07,0
"276",2017-02-08,0
"277",2017-02-09,0
"278",2017-02-10,0
"279",2017-02-11,0
"280",2017-02-12,1
"281",2017-02-13,0
"282",2017-02-14,0
"283",2017-02-15,0
"284",2017-02-16,0
"285",2017-02-17,0
"286",2017-02-18,1
"287",2017-02-19,0
"288",2017-02-20,1
"289",2017-02-21,1
"290",2017-02-22,3
"291",2017-02-23,4
"292",2017-02-24,17
"293",2017-02-25,10
"294",2017-02-26,12
"295",2017-02-27,7
"296",2017-02-28,32
"297",2017-03-01,37
"298",2017-03-02,78
"299",2017-03-03,37
"300",2017-03-04,47
"301",2017-03-05,53
"302",2017-03-06,0
"303",2017-03-07,1
"304",2017-03-08,69
"305",2017-03-09,14
"306",2017-03-10,12
"307",2017-03-11,33
"308",2017-03-12,44
"309",2017-03-13,14
"310",2017-03-14,18
"311",2017-03-15,25
"312",2017-03-16,65
"313",2017-03-17,29
"314",2017-03-18,4
"315",2017-03-19,1
"316",2017-03-20,1
"317",2017-03-21,2
"318",2017-03-22,3
"319",2017-03-23,7
"320",2017-03-24,31
"321",2017-03-25,7
"322",2017-03-26,2
"323",2017-03-27,0
"324",2017-03-28,0
"325",2017-03-29,0
"326",2017-03-30,0
"327",2017-03-31,0
"328",2017-04-01,0
"329",2017-04-02,0
"330",2017-04-03,0
"331",2017-04-04,0
"332",2017-04-05,0
"333",2017-04-06,3
"334",2017-04-07,3
"335",2017-04-08,1
"336",2017-04-09,0
"337",2017-04-10,1
"338",2017-04-11,0
"339",2017-04-12,0
"340",2017-04-13,0
"341",2017-04-14,0
"342",2017-04-15,0
"343",2017-04-16,0
"344",2017-04-17,0
"345",2017-04-18,0
"346",2017-04-19,0
"347",2017-04-20,0
"348",2017-04-21,1
"349",2017-04-22,0
"350",2017-04-23,0
"351",2017-04-24,0
"352",2017-04-25,1
"353",2017-04-26,0
"354",2017-04-27,0
"355",2017-04-28,0
"356",2017-04-29,0
"357",2017-04-30,0
"358",2017-05-01,0
"359",2017-05-02,0
"360",2017-05-03,0
"361",2017-05-04,0
"362",2017-05-05,0
"363",2017-05-06,0
"364",2017-05-07,0
"365",2017-05-08,0
"366",2017-05-09,0
"367",2017-05-10,0
"368",2017-05-11,0
"369",2017-05-12,0
"370",2017-05-13,0
"371",2017-05-14,0
"372",2017-05-15,0
"373",2017-05-16,0
"374",2017-05-17,0
"375",2017-05-18,0
"376",2017-05-19,0
"377",2017-05-20,0
